id,before_word,word,after_word,apply_font_name
CNAA00000131,一,個,,華康標楷W5注音
CNAA00000132,這,個,,華康標楷W5注音
CNAA00000133,那,個,,華康標楷W5注音
CNAA00000134,,個,別,華康標楷W5破音一
CNAA00000135,,個,人,華康標楷W5破音一
CNAA00000136,,個,性,華康標楷W5破音一
CNAA00000137,,個,子,華康標楷W5破音一
CNAA00000138,一,個,個人,華康標楷W6破音一
CNAA00000139,自,個,兒,華康標楷W5破音二
CNAA00000140,,假,,華康標楷W5注音
CNAA00000141,,假,裝,華康標楷W5注音
CNAA00000142,真,假,,華康標楷W5注音
CNAA00000143,,假,扮,華康標楷W5注音
CNAA00000144,,假,想,華康標楷W5注音
CNAA00000145,,假,牙,華康標楷W5注音
CNAA00000146,,假,設,華康標楷W5注音
CNAA00000147,狐,假,虎威,華康標楷W5注音
CNAA00000148,請,假,,華康標楷W5破音一
CNAA00000149,放,假,,華康標楷W5破音一
CNAA00000150,長,假,,華康標楷W5破音一
CNAA00000151,,假,期,華康標楷W5破音一
CNAA00000152,,假,日,華康標楷W5破音一
CNAA00000153,,傍,,華康標楷W5注音
CNAA00000154,,傍,晚,華康標楷W5注音
CNAA00000155,依,傍,,華康標楷W5破音一
CNAA00000156,依山,傍,水,華康標楷W5破音一
CNAA00000157,,兒,,華康標楷W5注音
CNAA00000158,,兒,子,華康標楷W5注音
CNAA00000159,,兒,童,華康標楷W5注音
CNAA00000160,女,兒,,華康標楷W5注音
CNAA00000161,孤,兒,,華康標楷W5注音
CNAA00000162,風,兒,,華康標楷W5破音一
CNAA00000163,鳥,兒,,華康標楷W5破音一
CNAA00000164,花,兒,,華康標楷W5破音一
CNAA00000165,一會,兒,,華康標楷W5破音一
